ticket_id,issue,solution,department,date
101,Service unavailable,Check server status online,Tech,11-11-2025
102,Incorrect billing,Contact support with invoice,Billing,10-11-2025
103,App update stuck,Restart device and try again,Tech,09-11-2025
104,Bug report submitted,Track issue with support ID,Tech,08-11-2025
105,Order delayed,Track status or contact support,Billing,07-11-2025
106,Overcharged,"Verify transaction, contact billing",Billing,06-11-2025
107,Subscription expired,Renew subscription online,Billing,05-11-2025
108,Gifting failed,Verify recipient details or try again,Billing,04-11-2025
109,App crash,Reinstall or check for updates,Tech,03-11-2025
110,Blocked account,Verify ID and appeal via form,Tech,02-11-2025
111,Error code 502,Retry and check internet,Tech,01-11-2025
112,Invalid phone number,Re-enter or use a different number,Tech,31-10-2025
113,Device not compatible,"Check requirements, update OS",Tech,30-10-2025
114,Family plan problem,"Review member invites, re-send as needed",Billing,29-10-2025
115,Too many login attempts,Wait 15 mins and retry,Tech,28-10-2025
116,Trial not activated,Contact support with details,Billing,27-10-2025
117,Cannot attach file,Reduce file size or change format,Tech,26-10-2025
118,Two-factor auth failed,Reset two-factor settings,Tech,25-10-2025
119,Account locked,Reset your password after 3 failed logins,Tech,24-10-2025
120,Refund not received,Refunds may take 5–7 days,Billing,23-10-2025
121,Slow performance,Close background apps or update device,Tech,22-10-2025
122,Data sync issue,Ensure app is updated and online,Tech,21-10-2025
123,Card declined,Contact bank or try another card,Billing,20-10-2025
124,Download error,Check storage and connection,Tech,19-10-2025
125,VAT charged incorrectly,Contact billing with screenshot,Billing,18-10-2025
126,Missing features,Update to latest version,Tech,17-10-2025
127,Password reset failed,Use recovery email or contact support,Tech,16-10-2025
128,App installed twice,Uninstall one copy and restart device,Tech,15-10-2025
129,Privacy settings issue,Reset privacy preferences,Tech,14-10-2025
130,Change account email,Update email from profile settings,Tech,13-10-2025
131,Referral bonus missing,Contact support with referral code,Billing,12-10-2025
132,Promo code not working,Check validity or contact support,Billing,11-10-2025
133,Language not supported,Change region in settings,Tech,10-10-2025
134,Payment failed,Try another card or contact bank,Billing,09-10-2025
135,Loyalty points missing,Wait 24h or reach support,Billing,08-10-2025
136,Cannot update app,Free up space and retry,Tech,07-10-2025
137,Unable to login,Check internet or use forgot password,Tech,06-10-2025
138,App not loading,Clear cache or reinstall app,Tech,05-10-2025
139,Duplicate charge,Request refund through support,Billing,04-10-2025
140,Service unavailable,Check server status online,Tech,03-10-2025
141,Incorrect billing,Contact support with invoice,Billing,02-10-2025
142,App update stuck,Restart device and try again,Tech,01-10-2025
143,Bug report submitted,Track issue with support ID,Tech,30-09-2025
144,Order delayed,Track status or contact support,Billing,29-09-2025
145,Overcharged,"Verify transaction, contact billing",Billing,28-09-2025
146,Subscription expired,Renew subscription online,Billing,27-09-2025
147,Gifting failed,Verify recipient details or try again,Billing,26-09-2025
148,App crash,Reinstall or check for updates,Tech,25-09-2025
149,Blocked account,Verify ID and appeal via form,Tech,24-09-2025
150,Error code 502,Retry and check internet,Tech,23-09-2025
151,Invalid phone number,Re-enter or use a different number,Tech,22-09-2025
152,Device not compatible,"Check requirements, update OS",Tech,21-09-2025
153,Family plan problem,"Review member invites, re-send as needed",Billing,20-09-2025
154,Too many login attempts,Wait 15 mins and retry,Tech,19-09-2025
155,Trial not activated,Contact support with details,Billing,18-09-2025
156,Cannot attach file,Reduce file size or change format,Tech,17-09-2025
157,Two-factor auth failed,Reset two-factor settings,Tech,16-09-2025
158,Account locked,Reset your password after 3 failed logins,Tech,15-09-2025
159,Refund not received,Refunds may take 5–7 days,Billing,14-09-2025
160,Slow performance,Close background apps or update device,Tech,13-09-2025
